"row","col","similarity"
1,1,1
2,1,0.238372093023256
3,1,0.161616161616162
4,1,0.310924369747899
5,1,0.247272727272727
6,1,0.529411764705882
7,1,0.0707547169811321
8,1,0.247272727272727
9,1,0.516129032258065
10,1,0.238372093023256
11,1,0.0869565217391304
12,1,0.384146341463415
13,1,0.263888888888889
14,1,0.102409638554217
15,1,0.0943396226415094
16,1,0.0809859154929577
17,1,0.0714285714285714
18,1,0.0740740740740741
19,1,0.087719298245614
20,1,0.115714285714286
21,1,0.476190476190476
22,1,0.114035087719298
23,1,0.101604278074866
24,1,0.619883040935672
25,1,0.634730538922156
26,1,0.654320987654321
27,1,0.12621359223301
28,1,0.116161616161616
29,1,0.108108108108108
30,1,0.0616113744075829
31,1,0.0858369098712446
32,1,0.244444444444444
33,1,0.166666666666667
34,1,0.16468253968254
35,1,0.0657894736842105
2,2,1
3,2,0.0904255319148936
4,2,0.393617021276596
5,2,0.261904761904762
6,2,0.330508474576271
7,2,0.0253807106598985
8,2,0.261904761904762
9,2,0.189814814814815
10,2,1
11,2,0.0869565217391304
12,2,0.246913580246914
13,2,0.308333333333333
14,2,0.0972222222222222
15,2,0.101063829787234
16,2,0.0722433460076046
17,2,0.0641399416909621
18,2,0.0732394366197183
19,2,0.0985221674876847
20,2,0.0769230769230769
21,2,0.177685950413223
22,2,0.115473441108545
23,2,0.0821167883211679
24,2,0.194312796208531
25,2,0.198067632850242
26,2,0.202970297029703
27,2,0.106951871657754
28,2,0.113636363636364
29,2,0.111111111111111
30,2,0.0641711229946524
31,2,0.0607356715141146
32,2,0.24375
33,2,0.137014314928425
34,2,0.135353535353535
35,2,0.0454545454545455
3,3,1
4,3,0.104477611940299
5,3,0.0737179487179487
6,3,0.115384615384615
7,3,0.0478468899521531
8,3,0.0737179487179487
9,3,0.096
10,3,0.0904255319148936
11,3,0.208144796380091
12,3,0.100502512562814
13,3,0.10126582278481
14,3,0.576576576576577
15,3,0.217391304347826
16,3,0.181818181818182
17,3,0.154078549848943
18,3,0.140401146131805
19,3,0.206030150753769
20,3,0.0574555403556772
21,3,0.118518518518519
22,3,0.0638297872340425
23,3,0.0990990990990991
24,3,0.106995884773663
25,3,0.108786610878661
26,3,0.111111111111111
27,3,0.12
28,3,0.115183246073298
29,3,0.0944444444444444
30,3,0.0746268656716418
31,3,0.0808254514187446
32,3,0.08
33,3,0.0630797773654917
34,3,0.0623853211009174
35,3,0.0568561872909699
4,4,1
5,4,0.165178571428571
6,4,0.587301587301587
7,4,0.013986013986014
8,4,0.165178571428571
9,4,0.226993865030675
10,4,0.393617021276596
11,4,0.0965909090909091
12,4,0.342592592592593
13,4,0.587301587301587
14,4,0.134831460674157
15,4,0.119402985074627
16,4,0.076555023923445
17,4,0.0620689655172414
18,4,0.0588235294117647
19,4,0.106666666666667
20,4,0.0558912386706949
21,4,0.193717277486911
22,4,0.0951156812339332
23,4,0.0741482965931864
24,4,0.234177215189873
25,4,0.24025974025974
26,4,0.248322147651007
27,4,0.102941176470588
28,4,0.112
29,4,0.128440366972477
30,4,0.0676691729323308
31,4,0.0322862129144852
32,4,0.352380952380952
33,4,0.0800865800865801
34,4,0.0790598290598291
35,4,0.0386266094420601
5,5,1
6,5,0.28125
7,5,0.0641025641025641
8,5,1
9,5,0.402173913043478
10,5,0.261904761904762
11,5,0.101449275362319
12,5,0.482142857142857
13,5,0.157258064516129
14,5,0.0666666666666667
15,5,0.0836012861736334
16,5,0.0928381962864721
17,5,0.0927152317880795
18,5,0.108459869848156
19,5,0.0895061728395062
20,5,0.156657963446475
21,5,0.300940438871473
22,5,0.187984496124031
23,5,0.135007849293564
24,5,0.232258064516129
25,5,0.235294117647059
26,5,0.239202657807309
27,5,0.104918032786885
28,5,0.108843537414966
29,5,0.111111111111111
30,5,0.0544871794871795
31,5,0.112012987012987
32,5,0.170818505338078
33,5,0.214159292035398
34,5,0.216168717047452
35,5,0.0698254364089776
6,6,1
7,6,0.0363636363636364
8,6,0.28125
9,6,0.386503067484663
10,6,0.330508474576271
11,6,0.100502512562814
12,6,0.583333333333333
13,6,0.415730337078652
14,6,0.114035087719298
15,6,0.106918238993711
16,6,0.0818965517241379
17,6,0.0670926517571885
18,6,0.0670731707317073
19,6,0.0971428571428571
20,6,0.095166163141994
21,6,0.329842931937173
22,6,0.110565110565111
23,6,0.0828516377649326
24,6,0.39873417721519
25,6,0.409090909090909
26,6,0.422818791946309
27,6,0.128205128205128
28,6,0.137931034482759
29,6,0.155038759689922
30,6,0.0632911392405063
31,6,0.0549738219895288
32,6,0.333333333333333
33,6,0.136363636363636
34,6,0.134615384615385
35,6,0.0387596899224806
7,7,1
8,7,0.0641025641025641
9,7,0.0669291338582677
10,7,0.0253807106598985
11,7,0.051792828685259
12,7,0.0536585365853659
13,7,0.0239520958083832
14,7,0.00584795321637427
15,7,0.0231481481481481
16,7,0.0422535211267606
17,7,0.0412087912087912
18,7,0.050531914893617
19,7,0.025974025974026
20,7,0.0635359116022099
21,7,0.0565371024734982
22,7,0.0375782881002088
23,7,0.0358361774744027
24,7,0.0857142857142857
25,7,0.0871369294605809
26,7,0.0798319327731092
27,7,0.105
28,7,0.0880829015544041
29,7,0.0718232044198895
30,7,0.0142857142857143
31,7,0.0573355817875211
32,7,0.0492610837438424
33,7,0.0694183864915572
34,7,0.0686456400742115
35,7,0.0503355704697987
8,8,1
9,8,0.402173913043478
10,8,0.261904761904762
11,8,0.101449275362319
12,8,0.482142857142857
13,8,0.157258064516129
14,8,0.0666666666666667
15,8,0.0836012861736334
16,8,0.0928381962864721
17,8,0.0927152317880795
18,8,0.108459869848156
19,8,0.0895061728395062
20,8,0.156657963446475
21,8,0.300940438871473
22,8,0.187984496124031
23,8,0.135007849293564
24,8,0.232258064516129
25,8,0.235294117647059
26,8,0.239202657807309
27,8,0.104918032786885
28,8,0.108843537414966
29,8,0.111111111111111
30,8,0.0544871794871795
31,8,0.112012987012987
32,8,0.170818505338078
33,8,0.214159292035398
34,8,0.216168717047452
35,8,0.0698254364089776
9,9,1
10,9,0.189814814814815
11,9,0.0813559322033898
12,9,0.662576687116564
13,9,0.195767195767196
14,9,0.0707547169811321
15,9,0.0866141732283465
16,9,0.0701219512195122
17,9,0.0663390663390663
18,9,0.0739856801909308
19,9,0.0936329588014981
20,9,0.131687242798354
21,9,0.525862068965517
22,9,0.167019027484144
23,9,0.135506003430532
24,9,0.426666666666667
25,9,0.434389140271493
26,9,0.444444444444444
27,9,0.121951219512195
28,9,0.118143459915612
29,9,0.101769911504425
30,9,0.0428015564202335
31,9,0.095397489539749
32,9,0.207207207207207
33,9,0.157407407407407
34,9,0.157798165137615
35,9,0.0635838150289017
10,10,1
11,10,0.0869565217391304
12,10,0.246913580246914
13,10,0.308333333333333
14,10,0.0972222222222222
15,10,0.101063829787234
16,10,0.0722433460076046
17,10,0.0641399416909621
18,10,0.0732394366197183
19,10,0.0985221674876847
20,10,0.0769230769230769
21,10,0.177685950413223
22,10,0.115473441108545
23,10,0.0821167883211679
24,10,0.194312796208531
25,10,0.198067632850242
26,10,0.202970297029703
27,10,0.106951871657754
28,10,0.113636363636364
29,10,0.111111111111111
30,10,0.0641711229946524
31,10,0.0607356715141146
32,10,0.24375
33,10,0.137014314928425
34,10,0.135353535353535
35,10,0.0454545454545455
11,11,1
12,11,0.1
13,11,0.111675126903553
14,11,0.229050279329609
15,11,0.200892857142857
16,11,0.653846153846154
17,11,0.472413793103448
18,11,0.543554006968641
19,11,0.177685950413223
20,11,0.073490813648294
21,11,0.0809968847352025
22,11,0.128364389233954
23,11,0.115843270868825
24,11,0.16728624535316
25,11,0.169811320754717
26,11,0.173076923076923
27,11,0.190265486725664
28,11,0.2
29,11,0.198019801980198
30,11,0.0740740740740741
31,11,0.088628762541806
32,11,0.0875
33,11,0.0899470899470899
34,11,0.0890052356020942
35,11,0.0680473372781065
12,12,1
13,12,0.276119402985075
14,12,0.0955414012738854
15,12,0.0995024875621891
16,12,0.0842490842490843
17,12,0.0706214689265537
18,12,0.0762942779291553
19,12,0.107476635514019
20,12,0.115942028985507
21,12,0.423809523809524
22,12,0.177725118483412
23,12,0.128252788104089
24,12,0.310344827586207
25,12,0.316582914572864
26,12,0.324742268041237
27,12,0.121827411167513
28,12,0.129032258064516
29,12,0.134502923976608
30,12,0.0492610837438424
31,12,0.0699658703071672
32,12,0.260355029585799
33,12,0.14
34,12,0.140594059405941
35,12,0.0433333333333333
13,13,1
14,13,0.123893805309735
15,13,0.121019108280255
16,13,0.091304347826087
17,13,0.0774193548387097
18,13,0.0736196319018405
19,13,0.109826589595376
20,13,0.0646108663729809
21,13,0.175925925925926
22,13,0.105134474327628
23,13,0.0870406189555126
24,13,0.214285714285714
25,13,0.219101123595506
26,13,0.225433526011561
27,13,0.113924050632911
28,13,0.114864864864865
29,13,0.128787878787879
30,13,0.0769230769230769
31,13,0.0440414507772021
32,13,0.282442748091603
33,13,0.0960334029227557
34,13,0.0948453608247423
35,13,0.0634920634920635
14,14,1
15,14,0.291970802919708
16,14,0.194312796208531
17,14,0.143344709897611
18,14,0.135922330097087
19,14,0.261437908496732
20,14,0.0401146131805158
21,14,0.0897435897435897
22,14,0.0559440559440559
23,14,0.0889748549323017
24,14,0.0776699029126214
25,14,0.0792079207920792
26,14,0.0812182741116751
27,14,0.0925925925925926
28,14,0.0993377483443709
29,14,0.0869565217391304
30,14,0.0764331210191083
31,14,0.0558464223385689
32,14,0.0833333333333333
33,14,0.0415841584158416
34,14,0.0410958904109589
35,14,0.0466926070038911
15,15,1
16,15,0.18503937007874
17,15,0.146268656716418
18,15,0.13960113960114
19,15,0.657534246575342
20,15,0.0601915184678523
21,15,0.0818505338078292
22,15,0.0865800865800866
23,15,0.0967741935483871
24,15,0.084
25,15,0.0853658536585366
26,15,0.0871369294605809
27,15,0.0917874396135266
28,15,0.0969387755102041
29,15,0.087431693989071
30,15,0.0738916256157636
31,15,0.0986038394415358
32,15,0.09
33,15,0.0727611940298507
34,15,0.0719557195571956
35,15,0.0564784053156146
16,16,1
17,16,0.693726937269373
18,16,0.457055214723926
19,16,0.174074074074074
20,16,0.0814249363867685
21,16,0.0797720797720798
22,16,0.135826771653543
23,16,0.118892508143322
24,16,0.157190635451505
25,16,0.159322033898305
26,16,0.15807560137457
27,16,0.166666666666667
28,16,0.174089068825911
29,16,0.170940170940171
30,16,0.0539568345323741
31,16,0.100660066006601
32,16,0.0851851851851852
33,16,0.0942760942760943
34,16,0.0933333333333333
35,16,0.0650406504065041
17,17,1
18,17,0.567415730337079
19,17,0.136363636363636
20,17,0.112038140643623
21,17,0.0794392523364486
22,17,0.141868512110727
23,17,0.137370753323486
24,17,0.131926121372032
25,17,0.133333333333333
26,17,0.132075471698113
27,17,0.132743362831858
28,17,0.133738601823708
29,17,0.129746835443038
30,17,0.0651558073654391
31,17,0.139067524115756
32,17,0.0804597701149425
33,17,0.117378048780488
34,17,0.11631419939577
35,17,0.0793650793650794
18,18,1
19,18,0.127371273712737
20,18,0.124407582938389
21,18,0.0717488789237668
22,18,0.139966273187184
23,18,0.135838150289017
24,18,0.132315521628499
25,18,0.133676092544987
26,18,0.135416666666667
27,18,0.149425287356322
28,18,0.140762463343109
29,18,0.133738601823708
30,18,0.0710382513661202
31,18,0.140015910898966
32,18,0.0769230769230769
33,18,0.12125748502994
34,18,0.12184249628529
35,18,0.0933333333333333
19,19,1
20,19,0.0674763832658569
21,19,0.0847457627118644
22,19,0.081419624217119
23,19,0.109540636042403
24,19,0.0830188679245283
25,19,0.0842911877394636
26,19,0.0817120622568093
27,19,0.1
28,19,0.105263157894737
29,19,0.0969387755102041
30,19,0.0684931506849315
31,19,0.102941176470588
32,19,0.0985915492957746
33,19,0.0706521739130435
34,19,0.0698924731182796
35,19,0.0603174603174603
20,20,1
21,20,0.128306878306878
22,20,0.162610619469027
23,20,0.206860706860707
24,20,0.11869031377899
25,20,0.119341563786008
26,20,0.120165745856354
27,20,0.0660247592847318
28,20,0.0611111111111111
29,20,0.0564971751412429
30,20,0.0449591280653951
31,20,0.275035260930889
32,20,0.136296296296296
33,20,0.224400871459695
34,20,0.224268689057421
35,20,0.0878293601003764
21,21,1
22,21,0.247311827956989
23,21,0.140495867768595
24,21,0.407258064516129
25,21,0.402439024390244
26,21,0.410788381742739
27,21,0.109489051094891
28,21,0.105660377358491
29,21,0.0948616600790514
30,21,0.0533807829181495
31,21,0.112312811980033
32,21,0.198380566801619
33,21,0.172351885098743
34,21,0.170515097690941
35,21,0.0702702702702703
22,22,1
23,22,0.206521739130435
24,22,0.181425485961123
25,22,0.177874186550976
26,22,0.177242888402626
27,22,0.113082039911308
28,22,0.108352144469526
29,22,0.10981308411215
30,22,0.0533049040511727
31,22,0.194552529182879
32,22,0.110112359550562
33,22,0.159400544959128
34,22,0.159675236806495
35,22,0.0780399274047187
23,23,1
24,23,0.111675126903553
25,23,0.108658743633277
26,23,0.107692307692308
27,23,0.0774647887323944
28,23,0.071301247771836
29,23,0.0636363636363636
30,23,0.0559440559440559
31,23,0.244326777609682
32,23,0.0922242314647378
33,23,0.274535809018568
34,23,0.274044795783926
35,23,0.0864197530864197
24,24,1
25,24,0.974683544303797
26,24,0.943037974683544
27,24,0.226244343891403
28,24,0.220657276995305
29,24,0.22
30,24,0.047808764940239
31,24,0.0994940978077572
32,24,0.206422018348624
33,24,0.169811320754717
34,24,0.167910447761194
35,24,0.0645161290322581
25,25,1
26,25,0.967532467532468
27,25,0.230414746543779
28,25,0.22488038277512
29,25,0.224489795918367
30,25,0.048582995951417
31,25,0.0989010989010989
32,25,0.210280373831776
33,25,0.171102661596958
34,25,0.169172932330827
35,25,0.0652818991097923
26,26,1
27,26,0.235849056603774
28,26,0.230392156862745
29,26,0.230366492146597
30,26,0.0495867768595041
31,26,0.0965283657917019
32,26,0.215311004784689
33,26,0.170498084291188
34,26,0.168560606060606
35,26,0.0662650602409639
27,27,1
28,27,0.902654867256637
29,27,0.761061946902655
30,27,0.0634146341463415
31,27,0.0562080536912752
32,27,0.09
33,27,0.0910815939278937
